metabolite,4T1-15_R11+,4T1-15_R11-,4T1-17_R4+,4T1-17_R4-,4T1-19_R15+,4T1-19_R15-,4T1-1_R7+,4T1-1_R7-,4T1-21_R22+,4T1-21_R22-,4T1-25_R16+,4T1-25_R16-,4T1-27_R18+,4T1-27_R18-,CTL-11_R21+,CTL-11_R21-,CTL-12_R14+,CTL-12_R14-,CTL-1_R23+,CTL-1_R23-,CTL-3_R6+,CTL-3_R6-,CTL-4_R20+,CTL-4_R20-,CTL-5_R2+,CTL-5_R2-,CTL-7_R3+,CTL-7_R3-,CTL-8_R13+,CTL-8_R13-,CTL-9_R1+,CTL-9_R1-
Docosahexaenoic acid,,257000.0,,1860000.0,,1120000.0,,1430000.0,,989000.0,,991000.0,,797000.0,,849000.0,,804000.0,,918000.0,,478000.0,,677000.0,,1060000.0,,1150000.0,,1740000.0,,1860000.0
Docosapentaenoyl carnitine,1030.0,,5960.0,,5090.0,,9400.0,,1150.0,,925.0,,4650.0,,0.0,,308.0,,588.0,,13100.0,,13800.0,,637.0,,11600.0,,0.0,,4410.0,
Dodecanedioylcarnitine,4560.0,,3460.0,,9960.0,,8170.0,,7760.0,,3990.0,,7830.0,,11300.0,,14100.0,,3310.0,,4710.0,,9200.0,,3870.0,,9820.0,,5470.0,,9040.0,
Dodecanoic acid,,352000.0,,172000.0,,305000.0,,278000.0,,251000.0,,205000.0,,206000.0,,180000.0,,404000.0,,235000.0,,243000.0,,177000.0,,413000.0,,178000.0,,185000.0,,302000.0
Dodecenoylcarnitine,24800.0,,18300.0,,25100.0,,68100.0,,20300.0,,12500.0,,14100.0,,15900.0,,21900.0,,25700.0,,20000.0,,25600.0,,21400.0,,19100.0,,10400.0,,29500.0,
Ectoine,182000.0,,161000.0,,147000.0,,160000.0,,117000.0,,236000.0,,73900.0,,227000.0,,457000.0,,128000.0,,309000.0,,321000.0,,149000.0,,209000.0,,480000.0,,209000.0,
Eicosapentaenoic acid,,106000.0,,228000.0,,157000.0,,234000.0,,94800.0,,113000.0,,181000.0,,184000.0,,373000.0,,547000.0,,156000.0,,222000.0,,211000.0,,626000.0,,286000.0,,296000.0
Eicosatetraenoic acid,,1220000.0,,7260000.0,,2960000.0,,4070000.0,,2470000.0,,4560000.0,,3060000.0,,1410000.0,,5870000.0,,2470000.0,,855000.0,,4500000.0,,2590000.0,,860000.0,,3540000.0,,1890000.0
Elaidic carnitine,1200000.0,,49900.0,,30200.0,,625000.0,,14900.0,,792000.0,,117000.0,,2650.0,,1010000.0,,6630.0,,23000.0,,40200.0,,9790.0,,38800.0,,58700.0,,21200.0,
FAD,,185000.0,,194000.0,,182000.0,,430000.0,,136000.0,,153000.0,,181000.0,,156000.0,,131000.0,,202000.0,,186000.0,,127000.0,,307000.0,,189000.0,,111000.0,,174000.0
FADH2,,15900.0,,15500.0,,13600.0,,34300.0,,11300.0,,10700.0,,7560.0,,9920.0,,9330.0,,18200.0,,10600.0,,7000.0,,20000.0,,14400.0,,6440.0,,15400.0
