Protein_ID,Gene_Symbol,Mean_Delta_Percentile,SD_Delta_Percentile,N_Studies,T_Statistic,P_value,Significant,Direction,FDR_Pvalue,FDR_Significant
O35206,COL15A1,-4.275002814839835,5.681176446791889,4,-1.5049709703186187,0.22939404510010908,False,Decrease,0.6680661139880035,False
O35598,ADAM10,1.0263932821075898,3.553397087905134,5,0.6458847952157049,0.5535398914359164,False,Increase,0.787747701128607,False
O35639,ANXA3,0.12746054453207556,2.6085547422034154,4,0.0977250294731489,0.9283138472469417,False,Increase,0.9555385580840461,False
O54824,IL16,-2.0437054791156872,4.983473977370073,4,-0.8201930975845935,0.4722053445852916,False,Decrease,0.7620739719544806,False
O88207,COL5A1,-5.676568984875519,11.816179442892635,5,-1.0742215104716883,0.34320578069536367,False,Decrease,0.6985141528709135,False
O88322,NID2;NID-2,-0.9656247993216477,5.261194443773817,6,-0.4495724434048547,0.6718373297325368,False,Decrease,0.8456330868448148,False
P02463,COL4A1,9.249888467994998,7.567855060228287,6,2.9939139616078587,0.030310560325472746,True,Increase,0.5378219671191371,False
P02469,LAMB1,-1.6223498733284913,6.400572199429131,5,-0.5667750455770554,0.6011579727369742,False,Decrease,0.8155788093437705,False
P06797,CTSL,2.485648239060707,7.65585654228168,5,0.7259904100862254,0.508046615673259,False,Increase,0.7631926428603472,False
P07356,ANXA2,-0.6442854184202105,4.1586138853825725,6,-0.37949436214607585,0.7199041790877505,False,Decrease,0.8647927723937683,False
P07758,SERPINA1A,7.662644827873636,4.1028748674304065,3,3.234826942344503,0.08373626870169781,False,Increase,0.6088329127612317,False
P08121,COL3A1,-4.520798127754131,12.803403807042551,6,-0.8648988042567277,0.42663368539177227,False,Decrease,0.732013586514304,False
P08122,COL4A2,5.744305971751385,4.452590454228258,6,3.160097184292228,0.025092413288261506,True,Increase,0.5378219671191371,False
P08207,S100A10,0.6201974909538052,5.244242421431397,5,0.26444310499074836,0.8045050662334434,False,Increase,0.9075039847477597,False
P10107,ANXA1,2.2482667034169204,7.982133519152684,6,0.6899291042735256,0.5209471377740296,False,Increase,0.7679775032643252,False
P10493,NID1,3.0306493118689537,7.114093614084578,6,1.0434982734411402,0.3445196173044156,False,Increase,0.6985141528709135,False
P10605,CTSB,10.596946073459698,11.37930934445346,6,2.2810796267190065,0.07144155812798059,False,Increase,0.6088329127612317,False
P11087,COL1A1,-1.530014628576449,10.34808638187875,6,-0.3621689074386912,0.7320295193421424,False,Decrease,0.8661423881489965,False
P14069,S100A6,3.5582613305888797,0.5058201813939806,5,15.729926384072648,9.541853308814296e-05,True,Increase,0.031106441786734607,True
P14824,ANXA6,3.1337903678675674,9.266510118073402,5,0.756203597740511,0.4916194934181757,False,Increase,0.7631926428603472,False
P15655,FGF2,-2.7006012903354324,4.025442851680828,3,-1.162003490844221,0.36515356099604035,False,Decrease,0.7015768590179302,False
