Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hcfc1,Mfap4,0.6937816404329029,0.002007564885120447,0.6937816404329029
Hcfc1,Mfge8,-0.6168822321422661,0.008345186178212458,0.6168822321422661
Hcfc1,Mmp17,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Ncan,-0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Nell2,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Npnt,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Nrg3,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Ntng1,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Ovos,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,P4ha1,0.7525766947068778,0.0004904358117415917,0.7525766947068778
Hcfc1,P4htm,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Pag1,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Pcolce2,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,Plxdc1,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Plxna1,0.7674301821024083,0.0003231442376204719,0.7674301821024083
Hcfc1,Plxna2,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Plxna4,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Plxnb1,0.7624790196372315,0.00037256575914741306,0.7624790196372315
Hcfc1,Plxnb2,0.9823008849557522,2.52290471543576e-12,0.9823008849557522
Hcfc1,Plxnc1,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Plxnd1,0.9601769911504425,1.0360732640054587e-09,0.9601769911504425
Hcfc1,Ptn,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Rif1,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hcfc1,S100a11,-0.5176991150442478,0.0332939264276163,0.5176991150442478
Hcfc1,S100a4,-0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,S100a5,-0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,S100a6,-0.9690265486725664,1.614317900673132e-10,0.9690265486725664
Hcfc1,S100b,-0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Sdc2,0.5938300481671458,0.01195987056982448,0.5938300481671458
Hcfc1,Sdc3,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Sema3b,0.7055406512876979,0.0015551240998089005,0.7055406512876979
Hcfc1,Sema4a,0.6055890590219407,0.009987025944871497,0.6055890590219407
Hcfc1,Sema4b,0.7476255322417009,0.0005601003634038312,0.7476255322417009
Hcfc1,Sema4d,0.6055890590219407,0.009987025944871497,0.6055890590219407
