Gene_Symbol,Shared_Tissue_Count,Fast_Tissues,Mean_Zscore_Delta,Direction,Function_Category,Pathway_Annotation
COL4A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.20572243312531593,Downregulated,Structural,Other
Fbln2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.2191594760373393,Downregulated,Structural,Other
Nid1,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.2302412750111067,Downregulated,Structural,Other
LAMA4,3,"Lung, Ovary_Cortex, Skin dermis",-0.23483880199449092,Downregulated,Structural,Other
Serpina1d,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.2374570723564395,Downregulated,Regulatory,Coagulation
Thbs4,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.24499797777839963,Downregulated,Structural,Other
Nid2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.24947126438908518,Downregulated,Structural,Other
COL6A6,3,"Lung, Ovary_Cortex, Skin dermis",-0.25035729865952655,Downregulated,Structural,Other
S100A16,3,"Lung, Ovary_Cortex, Skin dermis",-0.25864764869970097,Downregulated,Signaling,Inflammation
FGA,3,"Lung, Ovary_Cortex, Skin dermis",-0.26591923891256825,Downregulated,Structural,Coagulation
SPARC,3,"Lung, Ovary_Cortex, Skin dermis",-0.26632352230802553,Downregulated,Structural,Other
Lama2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.2708396338127745,Downregulated,Structural,Other
FGB,3,"Lung, Ovary_Cortex, Skin dermis",-0.2770595786614832,Downregulated,Structural,Coagulation
VCAN,3,"Lung, Ovary_Cortex, Skin dermis",-0.28204923480052563,Downregulated,Structural,Other
ABI3BP,3,"Lung, Ovary_Cortex, Skin dermis",-0.2871351348340363,Downregulated,Structural,Other
COL6A2,3,"Lung, Ovary_Cortex, Skin dermis",-0.2955060757507066,Downregulated,Structural,Other
HSPG2,3,"Lung, Ovary_Cortex, Skin dermis",-0.3044985019761419,Downregulated,Structural,Other
FN1,3,"Lung, Ovary_Cortex, Skin dermis",-0.31392093560552087,Downregulated,Structural,Other
Tgm2,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.316275189137947,Downregulated,Regulatory,Other
COL6A3,3,"Lung, Ovary_Cortex, Skin dermis",-0.31685914481169536,Downregulated,Structural,Other
SERPIND1,3,"Lung, Ovary_Cortex, Skin dermis",-0.34770508036776704,Downregulated,Regulatory,Coagulation
LAMC1,3,"Lung, Ovary_Cortex, Skin dermis",-0.34949800761306116,Downregulated,Structural,Other
AEBP1,3,"Lung, Ovary_Cortex, Skin dermis",-0.35941349655128824,Downregulated,Structural,Other
Adipoq,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.36896919768460346,Downregulated,Structural,Other
Dcn,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.3839138215496414,Downregulated,Structural,Other
COL16A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.39218289985723026,Downregulated,Structural,Other
S100A9,3,"Lung, Ovary_Cortex, Skin dermis",-0.40039797291814105,Downregulated,Signaling,Inflammation
SERPINF1,3,"Lung, Ovary_Cortex, Skin dermis",-0.40059651719193745,Downregulated,Regulatory,Coagulation
COL12A1,3,"Lung, Ovary_Cortex, Skin dermis",-0.4172209049802118,Downregulated,Structural,Other
Cst3,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.45148848146515963,Downregulated,Regulatory,Other
TNXB,3,"Lung, Ovary_Cortex, Skin dermis",-0.4564144478443142,Downregulated,Structural,Other
COL4A2,3,"Lung, Ovary_Cortex, Skin dermis",-0.464071873188645,Downregulated,Structural,Other
FBLN5,3,"Lung, Ovary_Cortex, Skin dermis",-0.4827119332796772,Downregulated,Structural,Other
Col6a6,3,"Skeletal_muscle_EDL, Skeletal_muscle_Gastrocnemius, Skeletal_muscle_TA",-0.48802706973463095,Downregulated,Structural,Other
