Protein_ID,Protein_Name,Gene_Symbol,Tissue,Species,Age,Age_Unit,Abundance,Abundance_Unit,Method,Study_ID,Sample_ID
O35969,GAMT_MOUSE,Gamt,Ovary,Mus musculus,Old,categorical,2287151.5,LFQ,DIA,Dipali_2023,Old_pooled
O35969,GAMT_MOUSE,Gamt,Ovary,Mus musculus,Young,categorical,1585384.5,LFQ,DIA,Dipali_2023,Young_pooled
Q8BPB5,FBLN3_MOUSE,Efemp1,Ovary,Mus musculus,Old,categorical,2017226.375,LFQ,DIA,Dipali_2023,Old_pooled
Q8BPB5,FBLN3_MOUSE,Efemp1,Ovary,Mus musculus,Young,categorical,890477.0,LFQ,DIA,Dipali_2023,Young_pooled
A0A075B5P5,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,Ighg3;;,Ovary,Mus musculus,Old,categorical,2252231.0,LFQ,DIA,Dipali_2023,Old_pooled
A0A075B5P5,A0A075B5P5_MOUSE;IGHG3_MOUSE;IGHG3_MOUSE,Ighg3;;,Ovary,Mus musculus,Young,categorical,890311.625,LFQ,DIA,Dipali_2023,Young_pooled
P51885,LUM_MOUSE,Lum,Ovary,Mus musculus,Old,categorical,7369347.0,LFQ,DIA,Dipali_2023,Old_pooled
P51885,LUM_MOUSE,Lum,Ovary,Mus musculus,Young,categorical,4585680.0,LFQ,DIA,Dipali_2023,Young_pooled
Q91Z25,Q91Z25_MOUSE;ARC1B_MOUSE,Arpc1b,Ovary,Mus musculus,Old,categorical,1829302.0,LFQ,DIA,Dipali_2023,Old_pooled
Q91Z25,Q91Z25_MOUSE;ARC1B_MOUSE,Arpc1b,Ovary,Mus musculus,Young,categorical,1556494.5,LFQ,DIA,Dipali_2023,Young_pooled
E9Q8I0,E9Q8I0_MOUSE;CFAH_MOUSE,Cfh,Ovary,Mus musculus,Old,categorical,1348063.875,LFQ,DIA,Dipali_2023,Old_pooled
E9Q8I0,E9Q8I0_MOUSE;CFAH_MOUSE,Cfh,Ovary,Mus musculus,Young,categorical,1065245.375,LFQ,DIA,Dipali_2023,Young_pooled
Q62318,TIF1B_MOUSE,Trim28,Ovary,Mus musculus,Old,categorical,7237986.0,LFQ,DIA,Dipali_2023,Old_pooled
Q62318,TIF1B_MOUSE,Trim28,Ovary,Mus musculus,Young,categorical,8562796.0,LFQ,DIA,Dipali_2023,Young_pooled
A0A087WR50,A0A087WR50_MOUSE;Q3UHL6_MOUSE,Fn1,Ovary,Mus musculus,Old,categorical,4268079.5,LFQ,DIA,Dipali_2023,Old_pooled
