Gene,Degree,Betweenness,PageRank,Degree_Norm,Betweenness_Norm,PageRank_Norm,Consensus_Score,N_Tissues,Direction_Consistency,Universality_Score,Predominant_Direction
COL9A1,6,2.8,0.002348056075834535,0.08695652173913043,0.04800806858295511,0.10667840889435795,0.08118855193884608,3.0,1.0,0.6368778474679214,DOWN
S100A11,5,0.9999999999999998,0.0034095260908673583,0.07246376811594203,0.017145738779626822,0.15490380413008545,0.0806003701192905,9.0,0.7777777777777778,0.5800586788255496,DOWN
MATN3,5,3.5,0.0024315652694354354,0.07246376811594203,0.060010085728693895,0.11047245282417709,0.08013026881223811,3.0,1.0,0.6442357049465423,DOWN
SERPINA5,7,1.666666666666667,0.002257713025621736,0.10144927536231885,0.02857623129937805,0.10257388475179072,0.07992474496027817,6.0,0.8333333333333334,0.5588802484364602,DOWN
TIMP3,6,2.4000000000000004,0.002399931484599149,0.08695652173913043,0.041149773071104394,0.10903524616272965,0.07983811446580238,8.0,0.875,0.6907647258584458,UP
EFEMP2,6,2.0,0.0025223822736664763,0.08695652173913043,0.03429147755925365,0.11459850995357349,0.07944960494950032,4.0,0.75,0.3740908205689641,DOWN
GSTM1,5,2.0,0.0028728181490014753,0.07246376811594203,0.03429147755925365,0.1305197402789406,0.07842887259783508,,,,
S100A1,3,3.0,0.0033232233049508317,0.043478260869565216,0.05143721633888048,0.15098283989951303,0.07811732121934414,4.0,0.75,0.487653399010605,DOWN
SERPINF1,6,2.8,0.0021194467976167657,0.08695652173913043,0.04800806858295511,0.09629208366569343,0.07807265437024674,,,,
OMD,4,2.666666666666667,0.0030105509943568628,0.057971014492753624,0.04572197007900488,0.1367773083780258,0.07793818933421065,4.0,0.75,0.4694121130672914,UP
COL11A2,7,1.0000000000000004,0.002326240975586375,0.10144927536231885,0.017145738779626836,0.10568729108916775,0.07742961910556592,5.0,0.8,0.5733827847141577,DOWN
DBI,7,0.0,0.0024298137637324183,0.10144927536231885,0.0,0.11039287727932948,0.07369757332872638,,,,
PLA2G7,7,0.0,0.0024298137637324183,0.10144927536231885,0.0,0.11039287727932948,0.07369757332872638,,,,
PLOD3,5,3.0,0.0021058488778525988,0.07246376811594203,0.05143721633888048,0.09567429414199183,0.0731189603906385,3.0,1.0,0.5302522498050404,DOWN
IGFBP3,5,2.5,0.002224936880804838,0.07246376811594203,0.042864346949067066,0.10108477764964667,0.07217024462599093,4.0,1.0,0.5694004671704578,UP
LMAN1,3,3.0,0.0028735350083854243,0.043478260869565216,0.05143721633888048,0.13055230910013174,0.07198816197952976,,,,
CMA1,3,3.0,0.0028460839798029863,0.043478260869565216,0.05143721633888048,0.12930513613785602,0.07161401009084703,,,,
PFN1,4,2.0,0.00278212854453956,0.057971014492753624,0.03429147755925365,0.1263994712586118,0.07139569044246108,,,,
P4HA1,4,3.3333333333333335,0.0021860963431598116,0.057971014492753624,0.057152462598756094,0.09932014911320927,0.07013018931069107,6.0,0.8333333333333334,0.5736056402134879,DOWN
CTSC,3,3.0,0.002688353306807289,0.043478260869565216,0.05143721633888048,0.12213901374316966,0.06946417337244112,4.0,0.75,0.3097715123066938,DOWN
LAMP2,4,2.666666666666667,0.002331374548766001,0.057971014492753624,0.04572197007900488,0.10592052292054581,0.06868115369696665,,,,
CFI,5,2.0,0.002082387506640552,0.07246376811594203,0.03429147755925365,0.0946083818849809,0.06765546507964718,,,,
ANXA7,2,2.0,0.003325648978845739,0.028985507246376812,0.03429147755925365,0.1510930446915827,0.06720955957380162,10.0,0.8,0.6249490313977628,DOWN
HSPH1,5,0.0,0.002728093547956485,0.07246376811594203,0.0,0.12394451819364048,0.06616886270446895,,,,
XDH,4,2.666666666666667,0.0021445751870576967,0.057971014492753624,0.04572197007900488,0.09743373297774556,0.06613511671412658,,,,
TNFAIP6,4,2.666666666666667,0.0019730920052575783,0.057971014492753624,0.04572197007900488,0.08964279766966236,0.06379783612170162,3.0,1.0,0.6303789310874122,UP
CD163,4,3.3333333333333335,0.00170552604198738,0.057971014492753624,0.057152462598756094,0.07748656702009996,0.06358011468275826,,,,
C7,4,2.0,0.0019740153211252245,0.057971014492753624,0.03429147755925365,0.08968474635593145,0.06038127297165698,6.0,0.8333333333333334,0.6395503071283757,UP
GSTO1,4,0.0,0.002537403015604771,0.057971014492753624,0.0,0.115280942058531,0.057772688414660746,,,,
